,Currency,Exchange,month,date,year
544,GBP,0.6657,4,19,2015
545,USD,1.0,4,20,2015
546,CAD,1.2252,4,20,2015
547,AUD,1.2891,4,20,2015
548,EUR,0.9326,4,20,2015
549,GBP,0.671,4,20,2015
550,USD,1.0,4,21,2015
551,CAD,1.2229,4,21,2015
552,AUD,1.2917,4,21,2015
553,EUR,0.9346,4,21,2015
554,GBP,0.6717,4,21,2015
555,USD,1.0,4,22,2015
556,CAD,1.2242,4,22,2015
557,AUD,1.2842,4,22,2015
558,EUR,0.9308,4,22,2015
559,GBP,0.6636,4,22,2015
560,USD,1.0,4,23,2015
561,CAD,1.2226,4,23,2015
562,AUD,1.2938,4,23,2015
563,EUR,0.9283,4,23,2015
564,GBP,0.6656,4,23,2015
565,USD,1.0,4,24,2015
566,CAD,1.2119,4,24,2015
567,AUD,1.2827,4,24,2015
568,EUR,0.9239,4,24,2015
569,GBP,0.6614,4,24,2015
570,USD,1.0,4,25,2015
571,CAD,1.2119,4,25,2015
572,AUD,1.2827,4,25,2015
573,EUR,0.9239,4,25,2015
574,GBP,0.6614,4,25,2015
575,USD,1.0,4,26,2015
576,CAD,1.2119,4,26,2015
577,AUD,1.2827,4,26,2015
578,EUR,0.9239,4,26,2015
579,GBP,0.6614,4,26,2015
580,USD,1.0,4,27,2015
581,CAD,1.2156,4,27,2015
582,AUD,1.2814,4,27,2015
583,EUR,0.924,4,27,2015
584,GBP,0.6618,4,27,2015
585,USD,1.0,4,28,2015
586,CAD,1.2069,4,28,2015
587,AUD,1.2585,4,28,2015
588,EUR,0.9152,4,28,2015
589,GBP,0.6543,4,28,2015
590,USD,1.0,4,29,2015
591,CAD,1.2054,4,29,2015
592,AUD,1.2509,4,29,2015
593,EUR,0.9089,4,29,2015
594,GBP,0.6509,4,29,2015
595,USD,1.0,4,30,2015
596,CAD,1.202,4,30,2015
597,AUD,1.2627,4,30,2015
598,EUR,0.8917,4,30,2015
599,GBP,0.648,4,30,2015
600,USD,1.0,5,1,2015
601,CAD,1.202,5,1,2015
602,AUD,1.2627,5,1,2015
603,EUR,0.8917,5,1,2015
604,GBP,0.648,5,1,2015
605,USD,1.0,5,2,2015
606,CAD,1.202,5,2,2015
607,AUD,1.2627,5,2,2015
608,EUR,0.8917,5,2,2015
609,GBP,0.648,5,2,2015
610,USD,1.0,5,3,2015
611,CAD,1.202,5,3,2015
612,AUD,1.2627,5,3,2015
613,EUR,0.8917,5,3,2015
614,GBP,0.648,5,3,2015
615,USD,1.0,5,4,2015
616,CAD,1.2116,5,4,2015
617,AUD,1.2756,5,4,2015
618,EUR,0.8967,5,4,2015
619,GBP,0.6617,5,4,2015
620,USD,1.0,5,5,2015
621,CAD,1.209,5,5,2015
622,AUD,1.27,5,5,2015
623,EUR,0.8995,5,5,2015
624,GBP,0.6611,5,5,2015
625,USD,1.0,5,6,2015
626,CAD,1.201,5,6,2015
627,AUD,1.2493,5,6,2015
628,EUR,0.8905,5,6,2015
629,GBP,0.6568,5,6,2015
630,USD,1.0,5,7,2015
631,CAD,1.207,5,7,2015
632,AUD,1.2548,5,7,2015
633,EUR,0.8846,5,7,2015
634,GBP,0.6568,5,7,2015
635,USD,1.0,5,8,2015
636,CAD,1.2103,5,8,2015
637,AUD,1.2638,5,8,2015
638,EUR,0.8912,5,8,2015
639,GBP,0.6488,5,8,2015
640,USD,1.0,5,9,2015
641,CAD,1.2103,5,9,2015
642,AUD,1.2638,5,9,2015
643,EUR,0.8912,5,9,2015
644,GBP,0.6488,5,9,2015
645,USD,1.0,5,10,2015
646,CAD,1.2103,5,10,2015
647,AUD,1.2638,5,10,2015
648,EUR,0.8912,5,10,2015
649,GBP,0.6488,5,10,2015
650,USD,1.0,5,11,2015
651,CAD,1.2114,5,11,2015
652,AUD,1.267,5,11,2015
653,EUR,0.8975,5,11,2015
654,GBP,0.6458,5,11,2015
655,USD,1.0,5,12,2015
656,CAD,1.204,5,12,2015
657,AUD,1.2519,5,12,2015
658,EUR,0.8898,5,12,2015
659,GBP,0.6374,5,12,2015
660,USD,1.0,5,13,2015
661,CAD,1.1974,5,13,2015
662,AUD,1.2428,5,13,2015
663,EUR,0.8912,5,13,2015
664,GBP,0.6393,5,13,2015
665,USD,1.0,5,14,2015
666,CAD,1.1949,5,14,2015
667,AUD,1.2336,5,14,2015
668,EUR,0.8757,5,14,2015
669,GBP,0.6332,5,14,2015
670,USD,1.0,5,15,2015
671,CAD,1.2037,5,15,2015
672,AUD,1.2499,5,15,2015
673,EUR,0.8828,5,15,2015
674,GBP,0.6366,5,15,2015
675,USD,1.0,5,16,2015
676,CAD,1.2037,5,16,2015
677,AUD,1.2499,5,16,2015
678,EUR,0.8828,5,16,2015
679,GBP,0.6366,5,16,2015
680,USD,1.0,5,17,2015
681,CAD,1.2037,5,17,2015
682,AUD,1.2499,5,17,2015
683,EUR,0.8828,5,17,2015
684,GBP,0.6366,5,17,2015
685,USD,1.0,5,18,2015
686,CAD,1.2058,5,18,2015
687,AUD,1.2493,5,18,2015
688,EUR,0.878,5,18,2015
689,GBP,0.6383,5,18,2015
690,USD,1.0,5,19,2015
691,CAD,1.2181,5,19,2015
692,AUD,1.2547,5,19,2015
693,EUR,0.8945,5,19,2015
694,GBP,0.6457,5,19,2015
695,USD,1.0,5,20,2015
696,CAD,1.2213,5,20,2015
697,AUD,1.2655,5,20,2015
698,EUR,0.8994,5,20,2015
699,GBP,0.6437,5,20,2015
700,USD,1.0,5,21,2015
701,CAD,1.2216,5,21,2015
702,AUD,1.2676,5,21,2015
703,EUR,0.8982,5,21,2015
704,GBP,0.6377,5,21,2015
705,USD,1.0,5,22,2015
706,CAD,1.22,5,22,2015
707,AUD,1.2686,5,22,2015
708,EUR,0.8957,5,22,2015
709,GBP,0.6394,5,22,2015
710,USD,1.0,5,23,2015
711,CAD,1.22,5,23,2015
712,AUD,1.2686,5,23,2015
713,EUR,0.8957,5,23,2015
714,GBP,0.6394,5,23,2015
715,USD,1.0,5,24,2015
716,CAD,1.22,5,24,2015
717,AUD,1.2686,5,24,2015
718,EUR,0.8957,5,24,2015
719,GBP,0.6394,5,24,2015
720,USD,1.0,5,25,2015
721,CAD,1.2294,5,25,2015
722,AUD,1.2774,5,25,2015
723,EUR,0.9109,5,25,2015
724,GBP,0.6467,5,25,2015
725,USD,1.0,5,26,2015
726,CAD,1.2374,5,26,2015
727,AUD,1.2832,5,26,2015
728,EUR,0.9152,5,26,2015
729,GBP,0.6495,5,26,2015
730,USD,1.0,5,27,2015
731,CAD,1.2456,5,27,2015
732,AUD,1.297,5,27,2015
733,EUR,0.9206,5,27,2015
734,GBP,0.6508,5,27,2015
735,USD,1.0,5,28,2015
736,CAD,1.2476,5,28,2015
737,AUD,1.3094,5,28,2015
738,EUR,0.9178,5,28,2015
739,GBP,0.6538,5,28,2015
740,USD,1.0,5,29,2015
741,CAD,1.2443,5,29,2015
742,AUD,1.307,5,29,2015
743,EUR,0.9116,5,29,2015
744,GBP,0.6554,5,29,2015
745,USD,1.0,5,30,2015
746,CAD,1.2443,5,30,2015
747,AUD,1.307,5,30,2015
748,EUR,0.9116,5,30,2015
749,GBP,0.6554,5,30,2015
750,USD,1.0,5,31,2015
751,CAD,1.2443,5,31,2015
752,AUD,1.307,5,31,2015
753,EUR,0.9116,5,31,2015
754,GBP,0.6554,5,31,2015
755,USD,1.0,6,1,2015
756,CAD,1.2494,6,1,2015
757,AUD,1.3104,6,1,2015
758,EUR,0.9137,6,1,2015
759,GBP,0.6572,6,1,2015
760,USD,1.0,6,2,2015
761,CAD,1.2498,6,2,2015
762,AUD,1.3004,6,2,2015
763,EUR,0.9067,6,2,2015
764,GBP,0.6567,6,2,2015
765,USD,1.0,6,3,2015
766,CAD,1.2445,6,3,2015
767,AUD,1.2862,6,3,2015
768,EUR,0.8981,6,3,2015
769,GBP,0.6534,6,3,2015
770,USD,1.0,6,4,2015
771,CAD,1.2449,6,4,2015
772,AUD,1.2917,6,4,2015
773,EUR,0.8836,6,4,2015
774,GBP,0.6498,6,4,2015
775,USD,1.0,6,5,2015
776,CAD,1.25,6,5,2015
777,AUD,1.2956,6,5,2015
778,EUR,0.8914,6,5,2015
779,GBP,0.6523,6,5,2015
780,USD,1.0,6,6,2015
781,CAD,1.25,6,6,2015
782,AUD,1.2956,6,6,2015
783,EUR,0.8914,6,6,2015
784,GBP,0.6523,6,6,2015
785,USD,1.0,6,7,2015
786,CAD,1.25,6,7,2015
787,AUD,1.2956,6,7,2015
788,EUR,0.8914,6,7,2015
789,GBP,0.6523,6,7,2015
790,USD,1.0,6,8,2015
791,CAD,1.2434,6,8,2015
792,AUD,1.3094,6,8,2015
793,EUR,0.8959,6,8,2015
794,GBP,0.6556,6,8,2015
795,USD,1.0,6,9,2015
796,CAD,1.2347,6,9,2015
